"A"	"M"	"Rp"	"car_den200"	"car_den100"	"car_den50"	"car_den40"	"car_den30"	"car_den20"	"car_den15"	"car_den10"	"car_den9"	"car_den8"	"car_den7"	"car_den6"	"car_den5"	"car_den4"	"car_den3"	"car_den2"	"car_den1"	"carc_dist"	"POINT_X"	"POINT_Y"
"29"	11	0	1	0.00673852	0.0248965	0.0741588	0.0944107	0.115935	0.144862	0.170086	0.221763	0.234942	0.249457	0.263808	0.27587	0.269873	0.250962	0.276941	0.414376	0.946223	0	-3.99768299999414	332.697119999677
"30"	2	0	0	0.00635968	0.0193847	0.0217726	0.0146594	0.00670725	0.00544289	0.00718932	0.00942021	0.00944623	0.00859075	0.00617349	0.00212648	0	0	0	0	0	5	-16.3893909999751	382.502480000257
"31"	1	0	0	0.00659192	0.0226641	0.0472678	0.0462038	0.037859	0.0215249	0.0135281	0.0117846	0.0107362	0.00913646	0.00661078	0.00219083	0	0	0	0	0	5.09902	-15.8938830000116	370.823079999536
"32"	2	0	0	0.00670494	0.0243367	0.0654486	0.0762535	0.0796496	0.0705624	0.063679	0.0637028	0.0637871	0.0620868	0.0569857	0.0452899	0.0249541	0.00595645	0	0	0	3	-15.5741079999716	360.625620000064
"33"	1	2	0	0.00674704	0.0249753	0.0734218	0.0915481	0.105584	0.107476	0.110827	0.109301	0.109304	0.109142	0.107238	0.100992	0.0813105	0.0507818	0.0127891	0	0	2.23607	-15.8300300000119	352.922369999811
"34"	5	1	0	0.00673402	0.024788	0.071608	0.0885862	0.102177	0.107683	0.117826	0.173535	0.193884	0.222101	0.266287	0.335478	0.443812	0.612756	0.850071	1.01444	0.630373	0	-15.8490660000243	342.279579999857
"35"	2	2	1	0.00667311	0.0238851	0.0614084	0.0702523	0.0738215	0.071279	0.063505	0.0336862	0.0238678	0.014409	0.00735986	0.00148382	0	0	0	0	0	5.09902	-16.1486160000204	333.617390000261
"36"	1	0	1	0.00642613	0.0202847	0.0268692	0.0197723	0.0109244	0.00667369	0.00723193	0.00641076	0.00705085	0.00758844	0.00762088	0.00636999	0.00269584	0	0	0	0	4.47214	-25.1417299999739	373.702870000154
"37"	0	0	0	0.00654119	0.0219141	0.0395937	0.0348175	0.0241403	0.0130773	0.0093531	0.00382068	0.00280168	0.00177016	0.000402741	0	0	0	0	0	0	6.7082	-25.525260000024	363.631900000386
"38"	0	0	1	0.00660665	0.0228692	0.0489549	0.0480679	0.0386019	0.0240733	0.0101259	0.000866615	4.07261e-05	0	0	0	0	0	0	0	0	9.05539	-26.1099280000199	353.541400000453
