year	site	species	id	sex	infected	strain	strain.2	type
2009	kyrg	p.humei	5273	f	1	HAE1	HAE1	H
2009	kyrg	p.humei	97326	f	1	HAE1	HAE1	H
2009	kyrg	p.humei	5215	f	1	HAE1	HAE1	H
2009	kyrg	p.humei	97313	f	1	HAE1	HAE1	H
2009	kyrg	p.humei	5248	m	1	HAE1	HAE1	H
2009	kyrg	p.humei	5294	m	1	HAE1	HAE1	H
2009	kyrg	p.humei	5266	m	1	HAE1	HAE1	H
2009	kyrg	p.humei	5053	m	1	HAE1	HAE1	H
2009	kyrg	p.humei	5057	m	1	HAE1	HAE1	H
2009	kyrg	p.humei	5058	m	1	HAE1	HAE1	H
2009	kyrg	p.humei	5065	m	1	HAE1	HAE1	H
2009	kyrg	p.humei	5068	m	1	HAE1	HAE1	H
2009	kyrg	p.humei	5069	m	1	HAE1	HAE1	H
2009	kyrg	p.humei	5090	m	1	HAE1	HAE1	H
2009	kyrg	p.humei	5098	m	1	HAE1	HAE1	H
2009	kyrg	p.humei	5239	m	1	HAE1	HAE1	H
2009	kyrg	p.humei	5285	m	1	HAE1	HAE1	H
2009	kyrg	p.humei	5288	m	1	HAE1	HAE1	H
2009	kyrg	p.humei	5290	m	1	HAE1	HAE1	H
2009	kyrg	p.humei	5081	m	1	HAE1	HAE1	H
2009	kyrg	p.humei	5097	m	1	HAE1	HAE1	H
2009	kyrg	p.humei	5240	m	1	HAE1	HAE1	H
2009	kyrg	p.humei	6251	m	1	HAE2	HAE2	H
2009	kyrg	p.humei	5216	f	1	HAE4	HAE4	H
2009	kyrg	p.humei	5262	m	1	HAE4	HAE4	H
2009	kyrg	p.humei	5066	m	1	HAE4	HAE4	H
2009	kyrg	p.humei	5074	m	1	HAE4	HAE4	H
2009	kyrg	p.humei	5281	m	1	HAE4	HAE4	H
2009	kyrg	p.humei	97359	m	1	HAE4	HAE4	H
2009	kyrg	p.humei	5264	f	0	NA	NA	NA
2009	kyrg	p.humei	5217	f	0	NA	NA	NA
2009	kyrg	p.humei	5218	f	0	NA	NA	NA
2009	kyrg	p.humei	5223	f	0	NA	NA	NA
2009	kyrg	p.humei	5232	f	0	NA	NA	NA
2009	kyrg	p.humei	5271	f	0	NA	NA	NA
2009	kyrg	p.humei	6274	f	0	NA	NA	NA
2009	kyrg	p.humei	5269	f	0	NA	NA	NA
2009	kyrg	p.humei	5272	f	0	NA	NA	NA
2009	kyrg	p.humei	1	f	0	NA	NA	NA
2009	kyrg	p.humei	351	f	0	NA	NA	NA
2009	kyrg	p.humei	392	f	0	NA	NA	NA
2009	kyrg	p.humei	5022	f	0	NA	NA	NA
2009	kyrg	p.humei	5027	f	0	NA	NA	NA
2009	kyrg	p.humei	5033	f	0	NA	NA	NA
2009	kyrg	p.humei	5039	f	0	NA	NA	NA
2009	kyrg	p.humei	5207	f	0	NA	NA	NA
2009	kyrg	p.humei	6247	f	0	NA	NA	NA
2009	kyrg	p.humei	6277	f	0	NA	NA	NA
2009	kyrg	p.humei	6279	f	0	NA	NA	NA
2009	kyrg	p.humei	6299	f	0	NA	NA	NA
2009	kyrg	p.humei	97309	f	0	NA	NA	NA
2009	kyrg	p.humei	97327	f	0	NA	NA	NA
2009	kyrg	p.humei	97351	f	0	NA	NA	NA
2009	kyrg	p.humei	97356	f	0	NA	NA	NA
2009	kyrg	p.humei	97363	f	0	NA	NA	NA
2009	kyrg	p.humei	97370	f	0	NA	NA	NA
2009	kyrg	p.humei	97373	f	0	NA	NA	NA
2009	kyrg	p.humei	97384	f	0	NA	NA	NA
2009	kyrg	p.humei	381-2	f	0	NA	NA	NA
2009	kyrg	p.humei	6276	m	0	NA	NA	NA
2009	kyrg	p.humei	5263	m	0	NA	NA	NA
2009	kyrg	p.humei	5219	m	0	NA	NA	NA
2009	kyrg	p.humei	5225	m	0	NA	NA	NA
2009	kyrg	p.humei	5228	m	0	NA	NA	NA
2009	kyrg	p.humei	5231	m	0	NA	NA	NA
2009	kyrg	p.humei	5267	m	0	NA	NA	NA
2009	kyrg	p.humei	5257	m	0	NA	NA	NA
2009	kyrg	p.humei	5261	m	0	NA	NA	NA
2009	kyrg	p.humei	5265	m	0	NA	NA	NA
2009	kyrg	p.humei	5268	m	0	NA	NA	NA
2009	kyrg	p.humei	5270	m	0	NA	NA	NA
2009	kyrg	p.humei	5274	m	0	NA	NA	NA
2009	kyrg	p.humei	5275	m	0	NA	NA	NA
2009	kyrg	p.humei	5047	m	0	NA	NA	NA
2009	kyrg	p.humei	5048	m	0	NA	NA	NA
2009	kyrg	p.humei	5049	m	0	NA	NA	NA
2009	kyrg	p.humei	5050	m	0	NA	NA	NA
2009	kyrg	p.humei	5051	m	0	NA	NA	NA
2009	kyrg	p.humei	5052	m	0	NA	NA	NA
2009	kyrg	p.humei	5055	m	0	NA	NA	NA
2009	kyrg	p.humei	5056	m	0	NA	NA	NA
2009	kyrg	p.humei	5060	m	0	NA	NA	NA
2009	kyrg	p.humei	5061	m	0	NA	NA	NA
2009	kyrg	p.humei	5062	m	0	NA	NA	NA
2009	kyrg	p.humei	5063	m	0	NA	NA	NA
2009	kyrg	p.humei	5064	m	0	NA	NA	NA
2009	kyrg	p.humei	5067	m	0	NA	NA	NA
2009	kyrg	p.humei	5071	m	0	NA	NA	NA
2009	kyrg	p.humei	5073	m	0	NA	NA	NA
2009	kyrg	p.humei	5076	m	0	NA	NA	NA
2009	kyrg	p.humei	5079	m	0	NA	NA	NA
2009	kyrg	p.humei	5080	m	0	NA	NA	NA
2009	kyrg	p.humei	5082	m	0	NA	NA	NA
2009	kyrg	p.humei	5083	m	0	NA	NA	NA
2009	kyrg	p.humei	5084	m	0	NA	NA	NA
2009	kyrg	p.humei	5087	m	0	NA	NA	NA
2009	kyrg	p.humei	5089	m	0	NA	NA	NA
2009	kyrg	p.humei	5091	m	0	NA	NA	NA
2009	kyrg	p.humei	5092	m	0	NA	NA	NA
2009	kyrg	p.humei	5096	m	0	NA	NA	NA
2009	kyrg	p.humei	5229	m	0	NA	NA	NA
2009	kyrg	p.humei	5234	m	0	NA	NA	NA
2009	kyrg	p.humei	5235	m	0	NA	NA	NA
2009	kyrg	p.humei	5238	m	0	NA	NA	NA
2009	kyrg	p.humei	5253	m	0	NA	NA	NA
2009	kyrg	p.humei	5255	m	0	NA	NA	NA
2009	kyrg	p.humei	5260	m	0	NA	NA	NA
2009	kyrg	p.humei	5276	m	0	NA	NA	NA
2009	kyrg	p.humei	5277	m	0	NA	NA	NA
2009	kyrg	p.humei	5280	m	0	NA	NA	NA
2009	kyrg	p.humei	5283	m	0	NA	NA	NA
2009	kyrg	p.humei	5284	m	0	NA	NA	NA
2009	kyrg	p.humei	5286	m	0	NA	NA	NA
2009	kyrg	p.humei	5287	m	0	NA	NA	NA
2009	kyrg	p.humei	5289	m	0	NA	NA	NA
2009	kyrg	p.humei	5291	m	0	NA	NA	NA
2009	kyrg	p.humei	5292	m	0	NA	NA	NA
2009	kyrg	p.humei	5293	m	0	NA	NA	NA
2009	kyrg	p.humei	5295	m	0	NA	NA	NA
2009	kyrg	p.humei	5296	m	0	NA	NA	NA
2009	kyrg	p.humei	5297	m	0	NA	NA	NA
2009	kyrg	p.humei	5298	m	0	NA	NA	NA
2009	kyrg	p.humei	6278	m	0	NA	NA	NA
2009	kyrg	p.humei	6281	m	0	NA	NA	NA
2009	kyrg	p.humei	6291	m	0	NA	NA	NA
2009	kyrg	p.humei	97312	m	0	NA	NA	NA
2009	kyrg	p.humei	97317	m	0	NA	NA	NA
2009	kyrg	p.humei	97322	m	0	NA	NA	NA
2009	kyrg	p.humei	97323	m	0	NA	NA	NA
2009	kyrg	p.humei	97328	m	0	NA	NA	NA
2009	kyrg	p.humei	97333	m	0	NA	NA	NA
2009	kyrg	p.humei	97339	m	0	NA	NA	NA
2009	kyrg	p.humei	97355	m	0	NA	NA	NA
2009	kyrg	p.humei	97358	m	0	NA	NA	NA
