obj_id RA DEC
03a_1_02152 0.9385738372802734 0.6832565665245056
03a_1_02153 0.9385837316513062 0.6836919784545898
03a_1_02156 0.9385846257209778 0.6819952130317688
03a_1_02158 0.9385632276535034 0.6833558082580566
03a_1_02160 0.9385553002357483 0.6815091371536255
03a_1_02162 0.9385521411895752 0.6808772683143616
03a_1_02166 0.9385570287704468 0.6831280589103699
03a_1_02170 0.9385808110237122 0.6810221076011658
03a_1_02173 0.9385690689086914 0.6821136474609375
03a_1_02177 0.9385467171669006 0.6830042004585266
