trial,group,ID,ID unique,boldness,exploration,sperm number (10^6),sperm velocity
1,3,12,3.12,0.018867925,244,7.35,52.61222933
2,3,12,3.12,0.016949153,256,7.35,52.61222933
3,3,12,3.12,0.015873016,258,7.35,52.61222933
3,3,13,3.13,0.008695652,1,1.46,131.7223763
1,3,13,3.13,0.006493506,34,1.46,131.7223763
2,3,13,3.13,0.003333333,116,1.46,131.7223763
1,3,14,3.14,0.003333333,35,3.025,148.7903613
2,3,14,3.14,0.003333333,45,3.025,148.7903613
3,3,14,3.14,0.003333333,180,3.025,148.7903613
1,3,15,3.15,0.008928571,232,1.38,108.1128478
3,3,15,3.15,0.004975124,6,1.38,108.1128478
2,3,15,3.15,0.003333333,1,1.38,108.1128478
1,3,2,3.2,0.003333333,20,0.73,122.6327475
3,3,2,3.2,0.003333333,19,0.73,122.6327475
2,3,2,3.2,0.003333333,24,0.73,122.6327475
1,3,3,3.3,0.003333333,212,0.99,115.1428212
2,3,3,3.3,0.003333333,82,0.99,115.1428212
3,3,3,3.3,0.003333333,97,0.99,115.1428212
3,3,4,3.4,0.020833333,27,3.25,131.2357646
1,3,4,3.4,0.005555556,7,3.25,131.2357646
2,3,4,3.4,0.003333333,221,3.25,131.2357646
1,3,5,3.5,0.024390244,151,5.075,121.1047371
2,3,5,3.5,0.009090909,22,5.075,121.1047371
2,3,6,3.6,0.014925373,16,1.96,129.7097089
3,3,6,3.6,0.014925373,33,1.96,129.7097089
1,3,6,3.6,0.012195122,36,1.96,129.7097089
3,3,7,3.7,0.004255319,1,4.625,122.8190402
1,3,7,3.7,0.003333333,46,4.625,122.8190402
2,3,7,3.7,0.003333333,24,4.625,122.8190402
1,3,8,3.8,0.005347594,15,0.56,111.7806304
2,3,8,3.8,0.003921569,79,0.56,111.7806304
3,3,8,3.8,0.003333333,7,0.56,111.7806304
1,3,9,3.9,0.025641026,206,0.73,128.6989088
2,3,9,3.9,0.010416667,214,0.73,128.6989088
3,3,9,3.9,0.003333333,40,0.73,128.6989088
3,4,1,4.01,0.007142857,216,4.125,110.0190202
2,4,1,4.01,0.004784689,199,4.125,110.0190202
1,4,1,4.01,0.003333333,11,4.125,110.0190202
1,4,10,4.1,0.02,272,3.5,137.1554745
2,4,10,4.1,0.018518519,132,3.5,137.1554745
3,4,10,4.1,0.003333333,13,3.5,137.1554745
2,4,11,4.11,0.014084507,248,1.32,143.916243
3,4,11,4.11,0.013157895,67,1.32,143.916243
1,4,11,4.11,0.003333333,152,1.32,143.916243
1,4,12,4.12,0.014084507,272,3.06,127.1245857
2,4,12,4.12,0.009090909,136,3.06,127.1245857
3,4,12,4.12,0.004385965,16,3.06,127.1245857
1,4,13,4.13,0.020833333,290,4.04,129.1690562
2,4,13,4.13,0.009009009,234,4.04,129.1690562
3,4,13,4.13,0.003921569,235,4.04,129.1690562
1,4,15,4.15,0.009174312,187,3.45,94.17561538
2,4,15,4.15,0.008403361,57,3.45,94.17561538
3,4,15,4.15,0.003333333,73,3.45,94.17561538
1,4,2,4.2,0.008403361,76,3.25,122.259801
2,4,2,4.2,0.003846154,1,3.25,122.259801
3,4,2,4.2,0.003460208,20,3.25,122.259801
2,4,3,4.3,0.008196721,10,2.7,122.5680611
3,4,3,4.3,0.00729927,11,2.7,122.5680611
1,4,3,4.3,0.006060606,184,2.7,122.5680611
1,4,4,4.4,0.008547009,207,3.675,134.2383469
2,4,4,4.4,0.006802721,25,3.675,134.2383469
3,4,4,4.4,0.004587156,2,3.675,134.2383469
1,4,5,4.5,0.026315789,30,1.905,124.8641246
2,4,5,4.5,0.007518797,52,1.905,124.8641246
3,4,5,4.5,0.003389831,43,1.905,124.8641246
1,4,6,4.6,0.015625,103,2.745,133.4533438
2,4,6,4.6,0.003333333,1,2.745,133.4533438
3,4,6,4.6,0.003333333,6,2.745,133.4533438
1,4,7,4.7,0.022222222,206,1.335,152.3038668
3,4,7,4.7,0.019607843,154,1.335,152.3038668
2,4,7,4.7,0.015625,108,1.335,152.3038668
1,4,8,4.8,0.007874016,212,6.175,119.1156046
3,4,8,4.8,0.006329114,128,6.175,119.1156046
2,4,8,4.8,0.005988024,230,6.175,119.1156046
1,4,9,4.9,0.014705882,110,0.69,102.9475257
2,4,9,4.9,0.008333333,115,0.69,102.9475257
3,4,9,4.9,0.003333333,5,0.69,102.9475257
