mr
48.78
32.02
41.64
39.34
39.77
46.33
35.89
46.99
54.04
22.67
35.43
39.62
22.75
44.78
44.78
26.63
43.99
43.48
47.74
30.05
25.39
30.33
38.0
39.21
25.98
51.39
36.84
50.91
34.49
49.65
38.71
47.83
30.53
44.07
45.54
32.4
48.37
34.12
33.06
29.93
45.92
33.47
36.38
36.47
35.67
46.86
28.98
28.46
36.0
40.85
23.16
23.19
56.6
44.51
36.88
28.76
42.47
44.3
47.42
48.39
44.59
33.61
38.05
44.0
44.36
35.03
40.39
35.3
31.33
41.72
33.18
27.31
29.9
36.85
53.99
35.17
17.98
43.41
34.44
27.9
28.71
27.93
44.36
58.34
0.0
50.98
35.58
40.71
28.97
34.63
34.56
24.84
28.69
28.83
38.64
42.31
24.25
39.33
44.54
39.93
40.85
39.6
39.97
38.16
37.69
43.33
41.78
69.07
33.14
51.9
55.23
33.71
36.53
46.5
22.74
36.92
34.4
40.53
29.11
47.25
65.61
32.68
37.78
43.26
43.33
47.61
53.63
28.13
41.85
32.48
33.19
36.81
39.15
35.88
54.71
33.92
43.64
57.99
56.8
49.57
43.07
40.2
43.12
49.59
30.02
32.03
38.81
39.2
24.09
65.35
45.19
70.22
41.75
37.51
31.6
37.65
28.0
46.01
43.48
40.27
39.05
32.76
45.97
23.14
53.0
